"County: Precinct"," YES"," NO","VoteTotal"," YES_Percentage"," NO_Percentage","County: Precinct_New"," YES_New"," NO_New","VoteTotal_New"," YES_Percentage_New"," NO_Percentage_New"
"DULUTH P-1",598,434,1032,57.9457364341085,42.0542635658915,"DULUTH P-1",598,434,1032,57.9457364341085,42.0542635658915
"DULUTH P-2",574,395,969,59.2363261093911,40.7636738906089,"DULUTH P-2",574,395,969,59.2363261093911,40.7636738906089
"DULUTH P-3",780,466,1246,62.6003210272873,37.3996789727127,"DULUTH P-3",780,466,1246,62.6003210272873,37.3996789727127
"DULUTH P-4",673,532,1205,55.850622406639,44.149377593361,"DULUTH P-4",673,532,1205,55.850622406639,44.149377593361
"DULUTH P-5",610,414,1024,59.5703125,40.4296875,"DULUTH P-5",610,414,1024,59.5703125,40.4296875
"DULUTH P-6",933,737,1670,55.8682634730539,44.1317365269461,"DULUTH P-6",933,737,1670,55.8682634730539,44.1317365269461
"DULUTH P-7",615,300,915,67.2131147540984,32.7868852459016,"DULUTH P-7",615,300,915,67.2131147540984,32.7868852459016
"DULUTH P-8",964,472,1436,67.1309192200557,32.8690807799443,"DULUTH P-8",964,472,1436,67.1309192200557,32.8690807799443
"DULUTH P-9",457,239,696,65.6609195402299,34.3390804597701,"DULUTH P-9",457,239,696,65.6609195402299,34.3390804597701
"DULUTH P-10",209,70,279,74.910394265233,25.089605734767,"DULUTH P-10",209,70,279,74.910394265233,25.089605734767
"DULUTH P-11",730,619,1349,54.1141586360267,45.8858413639733,"DULUTH P-11",730,619,1349,54.1141586360267,45.8858413639733
"DULUTH P-12",467,200,667,70.0149925037481,29.9850074962519,"DULUTH P-12",467,200,667,70.0149925037481,29.9850074962519
"DULUTH P-13",490,235,725,67.5862068965517,32.4137931034483,"DULUTH P-13",490,235,725,67.5862068965517,32.4137931034483
"DULUTH P-14",334,126,460,72.6086956521739,27.3913043478261,"DULUTH P-14",334,126,460,72.6086956521739,27.3913043478261
"DULUTH P-15",545,287,832,65.5048076923077,34.4951923076923,"DULUTH P-15",545,287,832,65.5048076923077,34.4951923076923
"DULUTH P-16",562,432,994,56.5392354124749,43.4607645875252,"DULUTH P-16",562,432,994,56.5392354124749,43.4607645875252
"DULUTH P-17",278,200,478,58.1589958158996,41.8410041841004,"DULUTH P-17",278,200,478,58.1589958158996,41.8410041841004
"DULUTH P-18",351,199,550,63.8181818181818,36.1818181818182,"DULUTH P-18",351,199,550,63.8181818181818,36.1818181818182
"DULUTH P-19",248,124,372,66.6666666666667,33.3333333333333,"DULUTH P-19",248,124,372,66.6666666666667,33.3333333333333
"DULUTH P-21",469,352,821,57.1254567600487,42.8745432399513,"DULUTH P-21",469,352,821,57.1254567600487,42.8745432399513
"DULUTH P-22",388,529,917,42.3118865866957,57.6881134133043,"DULUTH P-22",388,529,917,42.3118865866957,57.6881134133043
"DULUTH P-23",436,608,1044,41.7624521072797,58.2375478927203,"DULUTH P-23",436,608,1044,41.7624521072797,58.2375478927203
"DULUTH P-24",437,591,1028,42.5097276264591,57.4902723735409,"DULUTH P-24",437,591,1028,42.5097276264591,57.4902723735409
"DULUTH P-25",439,587,1026,42.7875243664717,57.2124756335283,"DULUTH P-25",439,587,1026,42.7875243664717,57.2124756335283
"DULUTH P-26",347,332,679,51.1045655375552,48.8954344624448,"DULUTH P-26",347,332,679,51.1045655375552,48.8954344624448
"DULUTH P-27",183,182,365,50.1369863013699,49.8630136986301,"DULUTH P-27",183,182,365,50.1369863013699,49.8630136986301
"DULUTH P-28",191,212,403,47.394540942928,52.605459057072,"DULUTH P-28",191,212,403,47.394540942928,52.605459057072
"DULUTH P-29",505,586,1091,46.2878093492209,53.7121906507791,"DULUTH P-29",505,586,1091,46.2878093492209,53.7121906507791
"DULUTH P-30",356,464,820,43.4146341463415,56.5853658536585,"DULUTH P-30",356,464,820,43.4146341463415,56.5853658536585
"DULUTH P-32",484,660,1144,42.3076923076923,57.6923076923077,"DULUTH P-32",484,660,1144,42.3076923076923,57.6923076923077
"DULUTH P-33",249,290,539,46.1966604823748,53.8033395176252,"DULUTH P-33",249,290,539,46.1966604823748,53.8033395176252
"DULUTH P-34",170,250,420,40.4761904761905,59.5238095238095,"DULUTH P-34",170,250,420,40.4761904761905,59.5238095238095
"DULUTH P-35",153,254,407,37.5921375921376,62.4078624078624,"DULUTH P-35",153,254,407,37.5921375921376,62.4078624078624
"LAKEWOOD TOWN HALL",0,0,0,NA,NA,"LAKEWOOD TOWN HALL",0,0,0,0,0
"GNESEN COMMUNITY CENTER",0,0,0,NA,NA,"GNESEN COMMUNITY CENTER",0,0,0,0,0
"NORMANNA TOWN HALL",60,78,138,43.4782608695652,56.5217391304348,"NORMANNA TOWN HALL",60,78,138,43.4782608695652,56.5217391304348
"NORTH STAR TOWN HALL",0,0,0,NA,NA,"NORTH STAR TOWN HALL",0,0,0,0,0
"RICE LAKE CITY HALL",235,292,527,44.5920303605313,55.4079696394687,"RICE LAKE CITY HALL",235,292,527,44.5920303605313,55.4079696394687
