"County: Precinct"," Emily Larson"," Roger J Reinert","WI WRITE-IN","VoteTotal"
"St. Louis: DULUTH P-1",455,625,0,0
"St. Louis: DULUTH P-2",449,544,1,0
"St. Louis: DULUTH P-3",584,700,5,0
"St. Louis: DULUTH P-4",438,790,1,0
"St. Louis: DULUTH P-5",454,597,1,0
"St. Louis: DULUTH P-6",624,NA,5,0
"St. Louis: DULUTH P-7",479,483,0,0
"St. Louis: DULUTH P-8",718,747,4,0
"St. Louis: DULUTH P-9",368,362,4,0
"St. Louis: DULUTH P-10",254,63,1,0
"St. Louis: DULUTH P-11",611,802,0,0
"St. Louis: DULUTH P-12",433,266,2,0
"St. Louis: DULUTH P-13",415,341,1,0
"St. Louis: DULUTH P-14",282,203,2,0
"St. Louis: DULUTH P-15",511,358,1,0
"St. Louis: DULUTH P-16",477,559,0,0
"St. Louis: DULUTH P-17",258,236,2,0
"St. Louis: DULUTH P-18",303,269,1,0
"St. Louis: DULUTH P-19",219,181,1,0
"St. Louis: DULUTH P-21",375,468,2,0
"St. Louis: DULUTH P-22",258,690,2,0
"St. Louis: DULUTH P-23",258,827,2,0
"St. Louis: DULUTH P-24",282,790,3,0
"St. Louis: DULUTH P-25",245,808,1,0
"St. Louis: DULUTH P-26",277,429,2,0
"St. Louis: DULUTH P-27",140,237,1,0
"St. Louis: DULUTH P-28",126,301,1,0
"St. Louis: DULUTH P-29",345,768,7,0
"St. Louis: DULUTH P-30",253,590,1,0
"St. Louis: DULUTH P-31",140,463,1,0
"St. Louis: DULUTH P-32",319,860,2,0
"St. Louis: DULUTH P-33",147,422,2,0
"St. Louis: DULUTH P-34",123,310,1,0
"St. Louis: DULUTH P-35",96,324,1,0
